flight_number,airport_code,departure_arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status,GateNumber
SV 1023,JED,2024-08-10T08:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10T05:00:00.0000000+00:00,Unknown,Closed,101A
SV 1295,URY,2024-08-10T08:05:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10T05:05:00.0000000+00:00,Unknown,Closed,101A
F3 205,TUU,2024-08-10T08:05:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10T05:05:00.0000000+00:00,Unknown,Closed,105A
J9 230,KWI,2024-08-10T08:10:00.0000000+03:00,2,Airbus A320,Jazeera Airways,Departure,2024-08-10T05:10:00.0000000+00:00,Unknown,Closed,105A
F3 173,DMM,2024-08-10T08:10:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10T05:10:00.0000000+00:00,Unknown,Closed,108A
XY 93,MED,2024-08-10T08:10:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-10T05:10:00.0000000+00:00,Departed,Closed,108A
F3 585,GYD,2024-08-10T08:25:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-10T05:25:00.0000000+00:00,Unknown,Closed,105A
SV 512,KWI,2024-08-10T08:35:00.0000000+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-10T05:35:00.0000000+00:00,Unknown,Closed,101A
XY 257,SAW,2024-08-10T08:35:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10T05:35:00.0000000+00:00,Unknown,Closed,103A
F3 111,JED,2024-08-10T08:35:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10T05:35:00.0000000+00:00,Unknown,Closed,108A
F3 33,GIZ,2024-08-10T08:40:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10T05:40:00.0000000+00:00,Unknown,Closed,109A
XY 13,JED,2024-08-10T08:40:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-10T05:40:00.0000000+00:00,Unknown,Closed,102A
F3 505,DXB,2024-08-10T08:50:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-10T05:50:00.0000000+00:00,Unknown,Closed,106A
SV 1737,BHH,2024-08-10T08:55:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10T05:55:00.0000000+00:00,Unknown,Closed,105A
SV 1138,DMM,2024-08-10T09:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10T06:00:00.0000000+00:00,Unknown,Closed,103A
SV 1025,JED,2024-08-10T09:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10T06:00:00.0000000+00:00,Unknown,Closed,106A
SV 1533,TUU,2024-08-10T09:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10T06:00:00.0000000+00:00,Unknown,Closed,104A
SV 596,DXB,2024-08-10T09:00:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-10T06:00:00.0000000+00:00,Unknown,Closed,108A
SV 1805,GIZ,2024-08-10T09:05:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10T06:05:00.0000000+00:00,Unknown,Closed,109A
NE 163,CAI,2024-08-10T09:10:00.0000000+03:00,2,Airbus A320,Nesma,Departure,2024-08-10T06:10:00.0000000+00:00,Unknown,Closed,101A
G9 152,SHJ,2024-08-10T09:10:00.0000000+03:00,1,Airbus A320,Air Arabia,Departure,2024-08-10T06:10:00.0000000+00:00,Unknown,Closed,101A
XY 273,CAI,2024-08-10T09:10:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10T06:10:00.0000000+00:00,Unknown,Closed,103A
SV 121,LHR,2024-08-10T09:15:00.0000000+03:00,4,Boeing 777-300,Saudi Arabian,Departure,2024-08-10T06:15:00.0000000+00:00,Departed,Closed,104A
SV 1273,ELQ,2024-08-10T09:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10T06:15:00.0000000+00:00,Unknown,Closed,102A
XY 359,TZX,2024-08-10T09:30:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10T06:30:00.0000000+00:00,Unknown,Closed,104A
F3 605,CAI,2024-08-10T09:30:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-10T06:30:00.0000000+00:00,Unknown,Closed,105A
EK 820,DXB,2024-08-10T09:40:00.0000000+03:00,2,Boeing 777-300ER,Emirates,Departure,2024-08-10T06:40:00.0000000+00:00,Unknown,Closed,106A
6E 74,BOM,2024-08-10T09:40:00.0000000+03:00,2,Airbus A320 NEO,IndiGo,Departure,2024-08-10T06:40:00.0000000+00:00,Unknown,Closed,105A
F3 15,AHB,2024-08-10T09:45:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10T06:45:00.0000000+00:00,Unknown,Closed,103A
