flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
SV 1023,JED,2024-08-10 08:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 05:00:00+00:00,Unknown,Closed
SV 1295,URY,2024-08-10 08:05+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 05:05:00+00:00,Unknown,Closed
F3 205,TUU,2024-08-10 08:05+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:05:00+00:00,Unknown,Closed
J9 230,KWI,2024-08-10 08:10+03:00,2.0,Airbus A320,Jazeera Airways,Departure,2024-08-10 05:10:00+00:00,Unknown,Closed
F3 173,DMM,2024-08-10 08:10+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:10:00+00:00,Unknown,Closed
XY 93,MED,2024-08-10 08:10+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 05:10:00+00:00,Departed,Closed
F3 585,GYD,2024-08-10 08:25+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-10 05:25:00+00:00,Unknown,Closed
SV 512,KWI,2024-08-10 08:35+03:00,4.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 05:35:00+00:00,Unknown,Closed
XY 257,SAW,2024-08-10 08:35+03:00,3.0,Airbus A320 NEO,flynas,Departure,2024-08-10 05:35:00+00:00,Unknown,Closed
F3 111,JED,2024-08-10 08:35+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:35:00+00:00,Unknown,Closed
F3 33,GIZ,2024-08-10 08:40+03:00,5.0,Airbus A320,flyadeal,Departure,2024-08-10 05:40:00+00:00,Unknown,Closed
XY 13,JED,2024-08-10 08:40+03:00,5.0,Airbus A320 NEO,flynas,Departure,2024-08-10 05:40:00+00:00,Unknown,Closed
F3 505,DXB,2024-08-10 08:50+03:00,3.0,Airbus A320,flyadeal,Departure,2024-08-10 05:50:00+00:00,Unknown,Closed
SV 1737,BHH,2024-08-10 08:55+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 05:55:00+00:00,Unknown,Closed
SV 1138,DMM,2024-08-10 09:00+03:00,5.0,Airbus A321,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
SV 1025,JED,2024-08-10 09:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
SV 1533,TUU,2024-08-10 09:00+03:00,5.0,Airbus A320,Saudi Arabian,Departure,2024-08-10 06:00:00+00:00,Unknown,Closed
