flight_number,departure/arrival_airport,departure/arrival_airport,flight_status,city_name,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,actual_datetime_flight
SV 1023,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-10 08:00+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10 08:00+03:00,
SV 1295,Riyadh King Khaled,RUH,Unknown,Gerayat,URY,2024-08-10 08:05+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10 08:05+03:00,
F3 205,Riyadh King Khaled,RUH,Unknown,Tabuk,TUU,2024-08-10 08:05+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10 08:05+03:00,
J9 230,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-10 08:10+03:00,2,Airbus A320,Jazeera Airways,Departure,2024-08-10 08:10+03:00,
F3 173,Riyadh King Khaled,RUH,Unknown,Ad Dammam,DMM,2024-08-10 08:10+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10 08:10+03:00,
XY 93,Riyadh King Khaled,RUH,Departed,Medina,MED,2024-08-10 08:10+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-10 08:10+03:00,
F3 585,Riyadh King Khaled,RUH,Unknown,Baku,GYD,2024-08-10 08:25+03:00,3,Airbus A320,flyadeal,Departure,2024-08-10 08:25+03:00,
SV 512,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-10 08:35+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-10 08:35+03:00,
XY 257,Riyadh King Khaled,RUH,Unknown,Istanbul,SAW,2024-08-10 08:35+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10 08:35+03:00,
F3 111,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-10 08:35+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10 08:35+03:00,
F3 33,Riyadh King Khaled,RUH,Unknown,Jazan,GIZ,2024-08-10 08:40+03:00,5,Airbus A320,flyadeal,Departure,2024-08-10 08:40+03:00,
XY 13,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-10 08:40+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-10 08:40+03:00,
FT 382,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-10 08:45+03:00,N/A,Boeing 737-800,FlyEgypt,Departure,2024-08-10 08:45+03:00,
F3 505,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-10 08:50+03:00,3,Airbus A320,flyadeal,Departure,2024-08-10 08:50+03:00,
SV 1737,Riyadh King Khaled,RUH,Unknown,Bisha,BHH,2024-08-10 08:55+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10 08:55+03:00,
SV 1138,Riyadh King Khaled,RUH,Unknown,Ad Dammam,DMM,2024-08-10 09:00+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-10 09:00+03:00,
SV 1025,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-10 09:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10 09:00+03:00,
SV 1533,Riyadh King Khaled,RUH,Unknown,Tabuk,TUU,2024-08-10 09:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10 09:00+03:00,
SV 596,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-10 09:00+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-10 09:00+03:00,
SV 1805,Riyadh King Khaled,RUH,Unknown,Jazan,GIZ,2024-08-10 09:05+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10 09:05+03:00,
NE 163,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-10 09:10+03:00,2,Airbus A320,Nesma,Departure,2024-08-10 09:10+03:00,
G9 152,Riyadh King Khaled,RUH,Unknown,Sharjah,SHJ,2024-08-10 09:10+03:00,1,Airbus A320,Air Arabia,Departure,2024-08-10 09:10+03:00,
XY 273,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-10 09:10+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10 09:10+03:00,
SV 121,Riyadh King Khaled,RUH,Departed,London,LHR,2024-08-10 09:15+03:00,4,Boeing 777-300,Saudi Arabian,Departure,2024-08-10 09:15+03:00,
SV 1273,Riyadh King Khaled,RUH,Unknown,Burayda,ELQ,2024-08-10 09:15+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-10 09:15+03:00,
XY 359,Riyadh King Khaled,RUH,Unknown,Trabzon,TZX,2024-08-10 09:30+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-10 09:30+03:00,
F3 605,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-10 09:30+03:00,3,Airbus A320,flyadeal,Departure,2024-08-10 09:30+03:00,
EK 820,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-10 09:40+03:00,2,Boeing 777-300ER,Emirates,Departure,2024-08-10 09:40+03:00,
